time,sample_id,horizon,treatment2,treatment,ftc,moisture_perc,loi_perc,om_wt_g
initial,OTO-101,O,0 thaws,freeze-thaw,1,182.55,73.33,56.57
initial,OTO-102,O,0 thaws,freeze-thaw,1,182.55,73.33,55.33
initial,OTO-103,O,0 thaws,freeze-thaw,1,182.55,73.33,59.53
initial,OTO-104,O,0 thaws,freeze-thaw,1,182.55,73.33,58.32
initial,OTO-105,O,0 thaws,freeze-thaw,1,182.55,73.33,59.21
initial,OTO-201,O,1 thaw,freeze-thaw,2,181.56,73.88,58.74
initial,OTO-202,O,1 thaw,freeze-thaw,2,181.56,73.88,64.55
initial,OTO-203,O,1 thaw,freeze-thaw,2,181.56,73.88,62.12
initial,OTO-204,O,1 thaw,freeze-thaw,2,181.56,73.88,59.56
initial,OTO-205,O,1 thaw,freeze-thaw,2,181.56,73.88,63.19
initial,OTO-301,O,10 thaws,freeze-thaw,6,187.43,75.48,59.81
initial,OTO-302,O,10 thaws,freeze-thaw,6,187.43,75.48,61.57
initial,OTO-303,O,10 thaws,freeze-thaw,6,187.43,75.48,60.92
initial,OTO-304,O,10 thaws,freeze-thaw,6,187.43,75.48,61.74
initial,OTO-305,O,10 thaws,freeze-thaw,6,187.43,75.48,60.9
initial,OTO-401,O,positive control,control,,176.23,73.46,60.65
initial,OTO-402,O,positive control,control,,176.23,73.46,61.06
initial,OTO-403,O,positive control,control,,176.23,73.46,62.7
initial,OTO-404,O,positive control,control,,176.23,73.46,62.93
initial,OTO-405,O,positive control,control,,176.23,73.46,62.91
initial,OTB-101,B,0 thaws,freeze-thaw,1,37.1,9.16,11.76
initial,OTB-102,B,0 thaws,freeze-thaw,1,37.1,9.16,11.1
initial,OTB-103,B,0 thaws,freeze-thaw,1,37.1,9.16,11.21
initial,OTB-104,B,0 thaws,freeze-thaw,1,37.1,9.16,13.01
initial,OTB-105,B,0 thaws,freeze-thaw,1,37.1,9.16,10.94
initial,OTB-201,B,1 thaw,freeze-thaw,2,37.6,9.28,11.5
initial,OTB-202,B,1 thaw,freeze-thaw,2,37.6,9.28,12.28
initial,OTB-203,B,1 thaw,freeze-thaw,2,37.6,9.28,12.01
initial,OTB-204,B,1 thaw,freeze-thaw,2,37.6,9.28,12.59
initial,OTB-205,B,1 thaw,freeze-thaw,2,37.6,9.28,12.07
initial,OTB-301,B,10 thaws,freeze-thaw,6,37.4,9.33,11.2
initial,OTB-302,B,10 thaws,freeze-thaw,6,37.4,9.33,11.5
initial,OTB-303,B,10 thaws,freeze-thaw,6,37.4,9.33,11.75
initial,OTB-304,B,10 thaws,freeze-thaw,6,37.4,9.33,11.23
initial,OTB-305,B,10 thaws,freeze-thaw,6,37.4,9.33,11.64
initial,OTB-401,B,positive control,control,,37.82,9.05,9.94
initial,OTB-402,B,positive control,control,,37.82,9.05,9.95
initial,OTB-403,B,positive control,control,,37.82,9.05,10.04
initial,OTB-404,B,positive control,control,,37.82,9.05,9.76
initial,OTB-405,B,positive control,control,,37.82,9.05,12.85
post-freeze,OTO-101,O,0 thaws,freeze-thaw,1,170.46,76.17,58.65
post-freeze,OTO-102,O,0 thaws,freeze-thaw,1,163.68,71.67,56.16
post-freeze,OTO-103,O,0 thaws,freeze-thaw,1,173.31,78.64,63.61
post-freeze,OTO-104,O,0 thaws,freeze-thaw,1,161.84,76.32,61.71
post-freeze,OTO-105,O,0 thaws,freeze-thaw,1,164.51,63.5,52.95
post-freeze,OTO-201,O,1 thaw,freeze-thaw,2,159.94,76.47,59.57
post-freeze,OTO-202,O,1 thaw,freeze-thaw,2,164.39,75.32,66.3
post-freeze,OTO-203,O,1 thaw,freeze-thaw,2,163.3,75.54,64.48
post-freeze,OTO-204,O,1 thaw,freeze-thaw,2,166.99,73.11,57.09
post-freeze,OTO-205,O,1 thaw,freeze-thaw,2,148.16,76.32,63.91
post-freeze,OTO-301,O,10 thaws,freeze-thaw,6,160.49,73.59,58.9
post-freeze,OTO-302,O,10 thaws,freeze-thaw,6,149.5,73.54,60.79
post-freeze,OTO-303,O,10 thaws,freeze-thaw,6,148.52,69.84,58.76
post-freeze,OTO-304,O,10 thaws,freeze-thaw,6,159.94,73.39,60.06
post-freeze,OTO-305,O,10 thaws,freeze-thaw,6,160.31,74.83,60.05
post-freeze,OTO-401,O,positive control,control,,146.92,71.48,58.42
post-freeze,OTO-402,O,positive control,control,,149.05,76.05,61.59
post-freeze,OTO-403,O,positive control,control,,146.19,75.42,63.28
post-freeze,OTO-404,O,positive control,control,,141.46,73.61,61.87
